subsektor,komoditas,prov,kab,Indikator,Satuan,Tahun,Jumlah
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1970,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1971,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1972,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1973,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1974,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1975,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKTIVITAS,Kuintal/Ha,1976,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,LUAS PANEN,Ha,1977,"0,00"
Tanaman Pangan,JAGUNG,Aceh,Kab. Simeulue,PRODUKSI,Ton,1977,"0,00"
